key,date,H/A,team,opp_team,pinnacle_line,pinnacle_odds,5dimes_line,5dimes_odds,heritage_line,heritage_odds,bovada_line,bovada_odds,betonline_line,betonline_odds,bet365_line,bet365_odds,bodog_line,bodog_odds
20091018_Chicago_Atlanta,20091018,away,Chicago,Atlanta,+4,-102,+4,-105,,,+4.5,-110,+4.5,-110,,,+4,-110
20091018_Chicago_Atlanta,20091018,home,Atlanta,Chicago,-4,-106,-4,-105,,,-4.5,-110,-4.5,-110,,,-4,-110
20091019_Denver_San Diego,20091019,away,Denver,San Diego,+3.5,-114,+3.5,-107,,,+3.5,-115,+3.5,-115,,,+3.5,-125
20091019_Denver_San Diego,20091019,home,San Diego,Denver,-3.5,+105,-3.5,-103,,,-3.5,-105,-3.5,-105,,,-3.5,+105
20091025_Minnesota_Pittsburgh,20091025,away,Minnesota,Pittsburgh,+6,-102,+6,-105,,,+6,-115,+6,-110,,,+6,-110
20091025_Minnesota_Pittsburgh,20091025,home,Pittsburgh,Minnesota,-6,-106,-6,-105,,,-6,-105,-6,-110,,,-6,-110
20091025_Green Bay_Cleveland,20091025,away,Green Bay,Cleveland,-9.5,+111,-8.5,-107,,,-9,-110,-8.5,-110,,,-8.5,-110
20091025_Green Bay_Cleveland,20091025,home,Cleveland,Green Bay,+9.5,-120,+8.5,-103,,,+9,-110,+8.5,-110,,,+8.5,-110
20091025_San Francisco_Houston,20091025,away,San Francisco,Houston,+3,+115,+3,+112,,,+3,+110,+3,+105,,,+3,+110
20091025_San Francisco_Houston,20091025,home,Houston,San Francisco,-3,-125,-3,-122,,,-3,-130,-3,-125,,,-3,-130
20091025_New England_Tampa Bay,20091025,away,New England,Tampa Bay,-15.5,-106,-15.5,-106,,,-16,-110,-15.5,-110,,,-15.5,-110
20091025_New England_Tampa Bay,20091025,home,Tampa Bay,New England,+15.5,-102,+15.5,-104,,,+16,-110,+15.5,-110,,,+15.5,-110
20091025_Buffalo_Carolina,20091025,away,Buffalo,Carolina,+7,-101,+7,-103,,,+7,-110,+7,-110,,,+7,-110
20091025_Buffalo_Carolina,20091025,home,Carolina,Buffalo,-7,-107,-7,-107,,,-7,-110,-7,-110,,,-7,-110
20091025_N.Y. Jets_Oakland,20091025,away,N.Y. Jets,Oakland,-6,+101,-6,-103,,,-7,+100,-6,-110,,,-5.5,-110
20091025_N.Y. Jets_Oakland,20091025,home,Oakland,N.Y. Jets,+6,-109,+6,-107,,,+7,-120,+6,-110,,,+5.5,-110
20091025_New Orleans_Miami,20091025,away,New Orleans,Miami,-6,-102,-6,-101,,,-7,-110,-6,-110,,,-6,-110
20091025_New Orleans_Miami,20091025,home,Miami,New Orleans,+6,-106,+6,-109,,,+7,-110,+6,-110,,,+6,-110
20091025_Chicago_Cincinnati,20091025,away,Chicago,Cincinnati,-1,-111,-1,-110,,,-1.5,-110,-1.5,-110,,,-1.5,-110
20091025_Chicago_Cincinnati,20091025,home,Cincinnati,Chicago,+1,+103,+1,+100,,,+1.5,-110,+1.5,-110,,,+1.5,-110
20091025_Arizona_N.Y. Giants,20091025,away,Arizona,N.Y. Giants,+9,-127,+9,-130,,,+8,-105,+8,-110,,,+7.5,-110
20091025_Arizona_N.Y. Giants,20091025,home,N.Y. Giants,Arizona,-9,+117,-9,+110,,,-8,-115,-8,-110,,,-7.5,-110
20091101_Denver_Baltimore,20091101,away,Denver,Baltimore,+4.5,+102,+5,-110,,,+4.5,-110,+5,-110,,,+4.5,-110
20091101_Denver_Baltimore,20091101,home,Baltimore,Denver,-4.5,-110,-5,-110,,,-4.5,-110,-5,-110,,,-4.5,-110
20091101_Houston_Buffalo,20091101,away,Houston,Buffalo,-3.5,-103,-3.5,-110,,,-3.5,-115,-3.5,-105,,,-3.5,-110
20091101_Houston_Buffalo,20091101,home,Buffalo,Houston,+3.5,-105,+3.5,-110,,,+3.5,-105,+3.5,-115,,,+3.5,-110
20091101_Cleveland_Chicago,20091101,away,Cleveland,Chicago,+11.5,-111,+13,-130,,,+14,-125,+11.5,-110,,,+11.5,-110
20091101_Cleveland_Chicago,20091101,home,Chicago,Cleveland,-11.5,+103,-13,+110,,,-14,+105,-11.5,-110,,,-11.5,-110
20091101_Seattle_Dallas,20091101,away,Seattle,Dallas,+10,-106,+11,-125,,,+10.5,-115,+10,-110,,,+10,-110
20091101_Seattle_Dallas,20091101,home,Dallas,Seattle,-10,-102,-11,+105,,,-10.5,-105,-10,-110,,,-10,-110
20091101_Los Angeles_Detroit,20091101,away,Los Angeles,Detroit,+3.5,-127,+3,-110,,,+4,-125,+3,-105,,,+3,-105
20091101_Los Angeles_Detroit,20091101,home,Detroit,Los Angeles,-3.5,+117,-3,-110,,,-4,+105,-3,-115,,,-3,-115
20091101_San Francisco_Indianapolis,20091101,away,San Francisco,Indianapolis,+13,-113,+13.5,-130,,,+14,-120,+13,-110,,,+13,-110
20091101_San Francisco_Indianapolis,20091101,home,Indianapolis,San Francisco,-13,+104,-13.5,+110,,,-14,+100,-13,-110,,,-13,-110
20091101_Miami_N.Y. Jets,20091101,away,Miami,N.Y. Jets,+3.5,-108,+3,+115,,,+3.5,-110,+3.5,-115,,,+3.5,-110
20091101_Miami_N.Y. Jets,20091101,home,N.Y. Jets,Miami,-3.5,+100,-3,-135,,,-3.5,-110,-3.5,-105,,,-3.5,-110
20091101_N.Y. Giants_Philadelphia,20091101,away,N.Y. Giants,Philadelphia,-1,-117,-2,-110,,,-2,-130,-2.5,-110,,,-2.5,-110
